2025-12-11 23:44:13,645 - ai_recap - INFO - Начинаем создание отчета за 25-09
2025-12-11 23:44:13,653 - ai_recap - WARNING - Сессия 13, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,654 - ai_recap - WARNING - Сессия 26, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,654 - ai_recap - WARNING - Сессия 32, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,654 - ai_recap - WARNING - Сессия 37, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:44:13,655 - ai_recap - WARNING - Сессия 48, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,655 - ai_recap - WARNING - Сессия 50, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,655 - ai_recap - WARNING - Сессия 55, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,656 - ai_recap - WARNING - Сессия 56, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,656 - ai_recap - WARNING - Сессия 59, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,656 - ai_recap - WARNING - Сессия 60, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,656 - ai_recap - WARNING - Сессия 67, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,656 - ai_recap - WARNING - Сессия 70, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,657 - ai_recap - WARNING - Сессия 74, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,657 - ai_recap - WARNING - Сессия 75, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,657 - ai_recap - WARNING - Сессия 76, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,657 - ai_recap - WARNING - Сессия 80, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,657 - ai_recap - WARNING - Сессия 113, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,658 - ai_recap - WARNING - Сессия 152, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,658 - ai_recap - WARNING - Сессия 153, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,658 - ai_recap - WARNING - Сессия 156, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,658 - ai_recap - WARNING - Сессия 158, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,658 - ai_recap - WARNING - Сессия 163, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:44:13,659 - ai_recap - WARNING - Сессия 164, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,659 - ai_recap - WARNING - Сессия 165, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,659 - ai_recap - WARNING - Сессия 166, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,660 - ai_recap - WARNING - Сессия 167, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,660 - ai_recap - WARNING - Сессия 255, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,660 - ai_recap - WARNING - Сессия 256, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,660 - ai_recap - WARNING - Сессия 259, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 260, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 261, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 262, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 270, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 271, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,661 - ai_recap - WARNING - Сессия 272, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,662 - ai_recap - WARNING - Сессия 273, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,662 - ai_recap - WARNING - Сессия 277, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:44:13,662 - ai_recap - WARNING - Сессия 299, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,662 - ai_recap - WARNING - Сессия 307, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,663 - ai_recap - WARNING - Сессия 313, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,663 - ai_recap - WARNING - Сессия 320, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,663 - ai_recap - WARNING - Сессия 331, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,663 - ai_recap - WARNING - Сессия 334, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,664 - ai_recap - WARNING - Сессия 338, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,664 - ai_recap - WARNING - Сессия 339, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,664 - ai_recap - WARNING - Сессия 340, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,664 - ai_recap - WARNING - Сессия 341, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,664 - ai_recap - WARNING - Сессия 343, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,665 - ai_recap - WARNING - Сессия 348, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,665 - ai_recap - WARNING - Сессия 349, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:44:13,665 - ai_recap - WARNING - Сессия 350, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,666 - ai_recap - WARNING - Сессия 354, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,666 - ai_recap - WARNING - Сессия 355, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,666 - ai_recap - WARNING - Сессия 356, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,666 - ai_recap - WARNING - Сессия 359, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,666 - ai_recap - WARNING - Сессия 360, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,667 - ai_recap - WARNING - Сессия 365, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,667 - ai_recap - WARNING - Сессия 367, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,667 - ai_recap - WARNING - Сессия 368, эпизод 2: отсутствует поле 'duration'
2025-12-11 23:44:13,667 - ai_recap - WARNING - Сессия 371, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,667 - ai_recap - WARNING - Сессия 372, эпизод 1: отсутствует поле 'duration'
2025-12-11 23:44:13,668 - ai_recap - WARNING - Сессия 378, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,668 - ai_recap - WARNING - Сессия 379, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,668 - ai_recap - WARNING - Сессия 382, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,668 - ai_recap - WARNING - Сессия 383, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,669 - ai_recap - WARNING - Сессия 384, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,669 - ai_recap - WARNING - Сессия 387, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,669 - ai_recap - WARNING - Сессия 389, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,669 - ai_recap - WARNING - Сессия 394, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,670 - ai_recap - WARNING - Сессия 398, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,670 - ai_recap - WARNING - Сессия 401, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,670 - ai_recap - WARNING - Сессия 403, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,670 - ai_recap - WARNING - Сессия 405, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,670 - ai_recap - WARNING - Сессия 407, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,671 - ai_recap - WARNING - Сессия 410, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,671 - ai_recap - WARNING - Сессия 411, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,671 - ai_recap - WARNING - Сессия 413, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,671 - ai_recap - WARNING - Сессия 414, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,673 - ai_recap - WARNING - Сессия 418, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,673 - ai_recap - WARNING - Сессия 420, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,674 - ai_recap - WARNING - Сессия 423, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,674 - ai_recap - WARNING - Сессия 425, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,674 - ai_recap - WARNING - Сессия 427, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,674 - ai_recap - WARNING - Сессия 428, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,675 - ai_recap - WARNING - Сессия 429, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,675 - ai_recap - WARNING - Сессия 430, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,675 - ai_recap - WARNING - Сессия 431, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,675 - ai_recap - WARNING - Сессия 434, эпизод 0: отсутствует поле 'duration'
2025-12-11 23:44:13,676 - ai_recap - WARNING - Сессия 435, эпизод 0: отсутствует поле 'duration'
